TxtConta;TxtPapel;TxtLado;TxtPrecoMedio;;CsvConta;CsvPapel;CsvLado;CsvPrecoMedio
ACC02;MGLU3;1;15.99;;ACC02;MGLU3;1;15.99
ACC08;VALE3;2;15.68;;ACC08;VALE3;2;15.68
ACC10;BBAS3;2;15.20;;ACC10;BBAS3;2;15.20
ACC08;VALE3;1;14.92;;ACC08;VALE3;1;14.92
ACC04;B3SA3;2;15.53;;ACC04;B3SA3;2;15.53
ACC02;MGLU3;2;14.73;;ACC02;MGLU3;2;14.73
ACC04;B3SA3;1;14.70;;ACC04;B3SA3;1;14.70
ACC06;ABEV3;1;15.51;;ACC06;ABEV3;1;15.51
ACC06;ABEV3;2;15.11;;ACC06;ABEV3;2;15.11
ACC03;BBDC4;1;15.92;;ACC03;BBDC4;1;15.92
ACC07;ITUB4;1;14.11;;ACC07;ITUB4;1;14.11
ACC07;ITUB4;2;15.38;;ACC07;ITUB4;2;15.38
ACC10;BBAS3;1;15.64;;ACC10;BBAS3;1;15.64
ACC07;BBAS3;1;13.30;;ACC07;BBAS3;1;13.30
ACC07;BBAS3;2;14.63;;ACC07;BBAS3;2;14.63
ACC10;ABEV3;2;15.91;;ACC10;ABEV3;2;15.91
ACC08;PETR4;1;14.68;;ACC08;PETR4;1;14.68
ACC10;ABEV3;1;15.91;;ACC10;ABEV3;1;15.91
ACC08;PETR4;2;14.92;;ACC08;PETR4;2;14.92
ACC04;BBDC4;1;14.13;;ACC04;BBDC4;1;14.13
ACC04;BBDC4;2;13.99;;ACC04;BBDC4;2;13.99
ACC03;LREN3;2;14.56;;ACC03;LREN3;2;14.56
ACC03;LREN3;1;15.55;;ACC03;LREN3;1;15.55
ACC04;WEGE3;1;14.31;;ACC04;WEGE3;1;14.31
ACC04;WEGE3;2;14.45;;ACC04;WEGE3;2;14.45
ACC01;MGLU3;1;13.97;;ACC01;MGLU3;1;13.97
ACC07;VALE3;1;14.81;;ACC07;VALE3;1;14.81
ACC01;MGLU3;2;14.77;;ACC01;MGLU3;2;14.77
ACC07;VALE3;2;14.77;;ACC07;VALE3;2;14.77
ACC03;B3SA3;1;16.16;;ACC03;B3SA3;1;16.16
ACC03;B3SA3;2;13.85;;ACC03;B3SA3;2;13.85
ACC05;ABEV3;2;15.52;;ACC05;ABEV3;2;15.52
